token	duration	length	syllaType	position	speaker	sanoiDur	vcdDur
b4.19	94	short vowel	V	nonfinal	Speaker #3	464	94
b4.20	415	long vowel	GV	final	Speaker #3	415	310
b5.1	385	long vowel	GV	final	Speaker #3	502	299
b5.2	231	short vowel	CV	final	Speaker #3	393	79
b5.3	212	long vowel	GV	nonfinal	Speaker #3	477	212
b5.4	405	long vowel	GV	final	Speaker #3	378	317
b5.5	87	short vowel	CVN	nonfinal	Speaker #3	463	87
b5.6	205	long vowel	CV	nonfinal	Speaker #3	557	205
b5.7	211	long vowel	CV	nonfinal	Speaker #3	515	211
b5.8	189	long vowel	CVN	nonfinal	Speaker #3	398	189
b5.9	159	long vowel	CVN	nonfinal	Speaker #3	473	159
b5.10	227	long vowel	GV	nonfinal	Speaker #3	463	227
b5.11	117	short vowel	CVN	final	Speaker #3	480	117
b5.12	129	short vowel	V	nonfinal	Speaker #3	485	129
b5.13	227	long vowel	V	nonfinal	Speaker #3	471	227
b5.14	120	short vowel	CVN	final	Speaker #3	413	120
b5.15	124	short vowel	GV	nonfinal	Speaker #3	475	124
b5.16	85	short vowel	CV	nonfinal	Speaker #3	505	85
b5.17	288	long vowel	GV	nonfinal	Speaker #3	431	288
b5.18	139	short vowel	CVN	final	Speaker #3	403	139
b5.19	117	short vowel	V	nonfinal	Speaker #3	448	117
b5.20	218	short vowel	V	final	Speaker #3	415	136
b6.1	105	short vowel	GV	nonfinal	Speaker #3	477	105
b6.2	301	long vowel	CV	final	Speaker #3	511	218
b6.3	232	long vowel	CVN	final	Speaker #3	368	232
b6.4	356	long vowel	CV	final	Speaker #3	449	289
b6.5	391	long vowel	CV	final	Speaker #3	448	263
b6.6	223	long vowel	CVN	final	Speaker #3	371	223
b6.7	187	short vowel	CV	final	Speaker #3	446	77
b6.8	408	long vowel	GV	final	Speaker #3	374	267
b6.9	493	long vowel	V	final	Speaker #3	386	306
b6.10	212	long vowel	V	nonfinal	Speaker #3	404	212
b6.11	198	long vowel	CV	nonfinal	Speaker #3	423	198
b6.12	128	short vowel	V	nonfinal	Speaker #3	400	128
b6.13	104	short vowel	CV	nonfinal	Speaker #3	392	104
b6.14	130	long vowel	CVN	nonfinal	Speaker #3	379	130
b6.15	198	long vowel	CVN	nonfinal	Speaker #3	431	198
b6.16	223	short vowel	CV	final	Speaker #3	374	167
b6.17	123	short vowel	CVN	final	Speaker #3	394	123
b6.18	184	short vowel	CV	final	Speaker #3	379	80
b6.19	115	short vowel	CVN	nonfinal	Speaker #3	358	115
b6.20	90	short vowel	CV	nonfinal	Speaker #3	350	90
b7.1	194	long vowel	V	nonfinal	Speaker #3	360	194
b7.2	197	long vowel	CVN	final	Speaker #3	382	197
b7.3	89	short vowel	CVN	final	Speaker #3	418	89
b7.4	226	short vowel	V	final	Speaker #3	314	145
b7.5	213	short vowel	CV	final	Speaker #3	373	85
b7.6	195	long vowel	CVN	nonfinal	Speaker #3	372	195
b7.7	177	short vowel	GV	final	Speaker #3	355	78
b7.8	396	long vowel	GV	final	Speaker #3	363	290
b7.9	358	long vowel	GV	final	Speaker #3	391	288
b7.10	227	long vowel	CV	nonfinal	Speaker #3	365	227
b7.11	217	short vowel	V	final	Speaker #3	394	113
b7.12	208	long vowel	GV	nonfinal	Speaker #3	330	208
b7.13	238	long vowel	V	nonfinal	Speaker #3	344	238
b7.14	277	short vowel	V	final	Speaker #3	387	117
b7.15	464	long vowel	V	final	Speaker #3	371	293
b7.16	260	long vowel	CVN	final	Speaker #3	366	260
b7.17	85	short vowel	CVN	nonfinal	Speaker #3	316	85
b7.18	105	short vowel	CVN	nonfinal	Speaker #3	418	105
b7.19	378	long vowel	GV	final	Speaker #3	415	268
b7.20	86	short vowel	CV	nonfinal	Speaker #3	377	86
b7.21	268	long vowel	V	nonfinal	Speaker #3	369	268
b8.1	241	long vowel	GV	nonfinal	Speaker #3	326	241
b8.2	120	short vowel	CV	final	Speaker #3	334	61
b8.3	124	short vowel	V	nonfinal	Speaker #3	392	124
b8.4	96	short vowel	CV	nonfinal	Speaker #3	417	96
b8.5	115	short vowel	CVN	nonfinal	Speaker #3	344	115
b8.6	240	long vowel	CVN	final	Speaker #3	364	240
b8.7	378	long vowel	GV	final	Speaker #3	359	268
b8.8	390	long vowel	GV	final	Speaker #3	389	257
b8.9	233	short vowel	V	final	Speaker #3	357	124
b8.10	407	long vowel	V	final	Speaker #3	345	253
b8.11	88	short vowel	CV	nonfinal	Speaker #3	455	88
b8.12	395	long vowel	CV	final	Speaker #3	412	269
b8.13	207	short vowel	GV	final	Speaker #3	375	93
b8.14	240	short vowel	GV	final	Speaker #3	361	124
b8.15	204	long vowel	GV	nonfinal	Speaker #3	339	204
b8.16	118	short vowel	V	nonfinal	Speaker #3	414	118
b8.17	210	short vowel	CV	final	Speaker #3	327	62
b8.18	99	short vowel	CVN	nonfinal	Speaker #3	382	99
b8.19	83	short vowel	CVN	nonfinal	Speaker #3	443	83
b8.20	78	short vowel	GV	nonfinal	Speaker #3	450	78
b9.1	165	short vowel	CV	final	Speaker #3	406	43
b9.2	110	short vowel	CVN	final	Speaker #3	494	110
b9.3	82	short vowel	CVN	final	Speaker #3	361	82
b9.4	113	short vowel	CVN	final	Speaker #3	446	113
b9.5	99	short vowel	GV	nonfinal	Speaker #3	388	99
b9.6	208	long vowel	V	nonfinal	Speaker #3	457	208
b9.7	241	long vowel	CVN	final	Speaker #3	502	241
b9.8	237	long vowel	V	nonfinal	Speaker #3	509	237
b9.9	182	long vowel	CVN	nonfinal	Speaker #3	425	182
b9.10	306	long vowel	V	final	Speaker #3	432	203
b9.11	341	long vowel	CV	final	Speaker #3	404	280
b9.12	198	long vowel	CV	nonfinal	Speaker #3	497	198
b9.13	395	long vowel	CV	final	Speaker #3	442	272
b9.14	288	short vowel	V	final	Speaker #3	415	146
b9.15	317	long vowel	CVN	final	Speaker #3	526	317
b9.16	80	short vowel	CV	nonfinal	Speaker #3	510	80
b9.17	245	long vowel	GV	nonfinal	Speaker #3	472	245
b9.18	305	long vowel	CV	final	Speaker #3	530	216
b9.19	78	short vowel	CVN	nonfinal	Speaker #3	481	78
b9.20	137	short vowel	GV	nonfinal	Speaker #3	627	137
b10.1	102	short vowel	GV	nonfinal	Speaker #3	472	102
b10.2	203	long vowel	CVN	nonfinal	Speaker #3	516	203
b10.3	356	long vowel	CV	final	Speaker #3	557	269
b10.4	483	long vowel	V	final	Speaker #3	446	236
b10.5	223	long vowel	GV	nonfinal	Speaker #3	493	223
b10.6	168	long vowel	CV	nonfinal	Speaker #3	506	168
b10.7	429	long vowel	V	final	Speaker #3	593	246
b10.8	496	long vowel	V	final	Speaker #3	393	383
b10.9	97	short vowel	CV	nonfinal	Speaker #3	556	97
b10.10	278	long vowel	CVN	final	Speaker #3	494	278
b10.11	201	short vowel	GV	final	Speaker #3	406	125
k1.1	115	short vowel	CV	final	Speaker #4	308	44
k1.2	161	short vowel	GV	final	Speaker #4	295	94
k1.3	158	long vowel	GV	nonfinal	Speaker #4	249	158
k1.4	134	long vowel	CV	nonfinal	Speaker #4	268	134
k1.5	89	short vowel	V	nonfinal	Speaker #4	285	89
k1.6	147	short vowel	GV	final	Speaker #4	275	102
k1.7	133	short vowel	V	final	Speaker #4	265	82
k1.8	138	short vowel	V	final	Speaker #4	278	86
k1.9	137	long vowel	CVN	nonfinal	Speaker #4	301	137
k1.10	153	long vowel	CV	nonfinal	Speaker #4	277	153
k1.11	227	long vowel	V	final	Speaker #4	289	162
k1.12	100	short vowel	V	nonfinal	Speaker #4	286	100
k1.13	202	long vowel	CV	final	Speaker #4	292	143
k1.14	71	short vowel	GV	nonfinal	Speaker #4	283	71
k1.15	131	long vowel	CV	nonfinal	Speaker #4	309	131
k1.16	132	long vowel	CVN	nonfinal	Speaker #4	273	132
k1.17	153	long vowel	CVN	final	Speaker #4	290	153
k1.18	232	long vowel	GV	final	Speaker #4	283	184
k1.19	132	short vowel	GV	final	Speaker #4	282	86
k1.20	84	short vowel	CVN	final	Speaker #4	278	84
k2.1	82	short vowel	CVN	nonfinal	Speaker #4	282	82
k2.2	138	long vowel	V	nonfinal	Speaker #4	293	138
k2.3	57	short vowel	CV	nonfinal	Speaker #4	272	57
k2.4	75	short vowel	CV	nonfinal	Speaker #4	264	75
k2.5	166	long vowel	CVN	final	Speaker #4	292	166
k2.6	148	long vowel	CVN	final	Speaker #4	269	148
k2.7	145	long vowel	V	nonfinal	Speaker #4	284	145
k2.8	74	short vowel	CVN	final	Speaker #4	275	74
k2.9	224	long vowel	GV	final	Speaker #4	284	163
k2.10	104	short vowel	V	final	Speaker #4	284	69
k2.11	217	long vowel	V	final	Speaker #4	283	172
k2.12	47	short vowel	CV	nonfinal	Speaker #4	307	47
k2.13	102	short vowel	CV	final	Speaker #4	302	60
k2.14	157	long vowel	GV	nonfinal	Speaker #4	297	157
k2.15	160	long vowel	GV	nonfinal	Speaker #4	288	160
k2.16	161	long vowel	V	nonfinal	Speaker #4	296	161
k2.17	209	long vowel	V	final	Speaker #4	269	176
k2.18	131	short vowel	V	final	Speaker #4	267	84
k2.19	128	short vowel	GV	final	Speaker #4	280	72
k2.20	227	long vowel	CV	final	Speaker #4	287	170
k3.1	131	short vowel	V	final	Speaker #4	277	96
k3.2	69	short vowel	GV	nonfinal	Speaker #4	287	69
k3.3	96	short vowel	V	nonfinal	Speaker #4	266	96
k3.4	160	long vowel	CVN	nonfinal	Speaker #4	289	160
k3.5	78	short vowel	CVN	final	Speaker #4	274	78
k3.6	154	short vowel	GV	final	Speaker #4	302	85
k3.7	127	short vowel	GV	final	Speaker #4	282	76
k3.8	127	short vowel	CV	final	Speaker #4	300	73
k3.9	250	long vowel	GV	final	Speaker #4	298	206
k3.10	168	long vowel	V	nonfinal	Speaker #4	284	168
k3.11	178	short vowel	GV	final	Speaker #4	282	102
k3.12	161	long vowel	GV	nonfinal	Speaker #4	300	161
k3.13	86	short vowel	CVN	final	Speaker #4	263	86
k3.14	217	long vowel	CV	final	Speaker #4	275	149
k3.15	66	short vowel	GV	nonfinal	Speaker #4	284	66
k3.16	136	long vowel	CV	nonfinal	Speaker #4	291	136
k3.17	61	short vowel	CVN	nonfinal	Speaker #4	270	61
k3.18	154	short vowel	V	final	Speaker #4	288	82
k3.19	259	long vowel	V	final	Speaker #4	310	186
k3.20	78	short vowel	GV	nonfinal	Speaker #4	270	78
k4.1	52	short vowel	CV	nonfinal	Speaker #4	272	52
k4.2	144	long vowel	CV	nonfinal	Speaker #4	283	144
k4.3	227	long vowel	CV	final	Speaker #4	271	176
k4.4	101	short vowel	V	nonfinal	Speaker #4	266	101
k4.5	168	long vowel	V	nonfinal	Speaker #4	306	168
k4.6	127	long vowel	CVN	nonfinal	Speaker #4	274	127
k4.7	156	short vowel	GV	final	Speaker #4	278	88
k4.8	229	long vowel	V	final	Speaker #4	274	183
k4.9	93	short vowel	V	nonfinal	Speaker #4	262	93
k4.10	98	short vowel	CVN	nonfinal	Speaker #4	264	98
k4.11	59	short vowel	GV	nonfinal	Speaker #4	280	59
k4.12	191	long vowel	CVN	final	Speaker #4	277	191
k4.13	142	long vowel	CVN	nonfinal	Speaker #4	270	142
k4.14	77	short vowel	GV	nonfinal	Speaker #4	291	77
k4.15	94	short vowel	CVN	nonfinal	Speaker #4	293	94
k4.16	132	long vowel	CV	nonfinal	Speaker #4	294	132
k4.17	96	short vowel	V	nonfinal	Speaker #4	298	96
k4.18	133	short vowel	CV	final	Speaker #4	291	67
k4.19	94	short vowel	V	nonfinal	Speaker #4	284	94
k4.20	253	long vowel	GV	final	Speaker #4	293	200
k5.1	266	long vowel	GV	final	Speaker #4	294	204
k5.2	135	short vowel	CV	final	Speaker #4	300	70
k5.3	165	long vowel	GV	nonfinal	Speaker #4	303	165
k5.4	227	long vowel	GV	final	Speaker #4	291	181
k5.5	67	short vowel	CVN	nonfinal	Speaker #4	285	67
k5.6	148	long vowel	CV	nonfinal	Speaker #4	300	148
k5.7	154	long vowel	CV	nonfinal	Speaker #4	285	154
k5.8	149	long vowel	CVN	nonfinal	Speaker #4	266	149
k5.9	155	long vowel	CVN	nonfinal	Speaker #4	279	155
k5.10	168	long vowel	GV	nonfinal	Speaker #4	269	168
k5.11	78	short vowel	CVN	final	Speaker #4	279	78
k5.12	95	short vowel	V	nonfinal	Speaker #4	294	95
k5.13	160	long vowel	V	nonfinal	Speaker #4	273	160
k5.14	80	short vowel	CVN	final	Speaker #4	268	80
k5.15	76	short vowel	GV	nonfinal	Speaker #4	282	76
k5.16	54	short vowel	CV	nonfinal	Speaker #4	271	54
k5.17	155	long vowel	GV	nonfinal	Speaker #4	272	155
k5.18	85	short vowel	CVN	final	Speaker #4	283	85
k5.19	107	short vowel	V	nonfinal	Speaker #4	269	107
k5.20	121	short vowel	V	final	Speaker #4	276	88
k6.1	72	short vowel	GV	nonfinal	Speaker #4	278	72
k6.2	191	long vowel	CV	final	Speaker #4	289	150
k6.3	190	long vowel	CVN	final	Speaker #4	272	190
k6.4	225	long vowel	CV	final	Speaker #4	286	169
k6.5	212	long vowel	CV	final	Speaker #4	273	162
k6.6	177	long vowel	CVN	final	Speaker #4	278	177
k6.7	130	short vowel	CV	final	Speaker #4	275	67
k6.8	258	long vowel	GV	final	Speaker #4	290	192
k6.9	249	long vowel	V	final	Speaker #4	289	168
k6.10	152	long vowel	V	nonfinal	Speaker #4	270	152
k6.11	130	long vowel	CV	nonfinal	Speaker #4	290	130
k6.12	81	short vowel	V	nonfinal	Speaker #4	293	81
k6.13	88	short vowel	CV	nonfinal	Speaker #4	285	88
k6.14	157	long vowel	CVN	nonfinal	Speaker #4	272	157
k6.15	144	long vowel	CVN	nonfinal	Speaker #4	281	144
k6.16	100	short vowel	CV	final	Speaker #4	298	48
k6.17	83	short vowel	CVN	final	Speaker #4	295	83
k6.18	118	short vowel	CV	final	Speaker #4	303	57
k6.19	78	short vowel	CVN	nonfinal	Speaker #4	284	78
k6.20	47	short vowel	CV	nonfinal	Speaker #4	292	47
k7.1	169	long vowel	V	nonfinal	Speaker #4	278	169
k7.2	176	long vowel	CVN	final	Speaker #4	295	176
k7.3	71	short vowel	CVN	final	Speaker #4	287	71
k7.4	132	short vowel	V	final	Speaker #4	310	90
k7.5	109	short vowel	CV	final	Speaker #4	294	58
k7.6	146	long vowel	CVN	nonfinal	Speaker #4	280	146
k7.7	169	short vowel	GV	final	Speaker #4	285	86
k7.8	234	long vowel	GV	final	Speaker #4	281	178
k7.9	234	long vowel	GV	final	Speaker #4	311	182
k7.10	142	long vowel	CV	nonfinal	Speaker #4	336	142
k7.11	134	short vowel	V	final	Speaker #4	304	83
k7.12	153	long vowel	GV	nonfinal	Speaker #4	293	153
k7.13	168	long vowel	V	nonfinal	Speaker #4	282	168
k7.14	152	short vowel	V	final	Speaker #4	289	87
k7.15	252	long vowel	V	final	Speaker #4	268	195
k7.16	182	long vowel	CVN	final	Speaker #4	291	182
k7.17	57	short vowel	CVN	nonfinal	Speaker #4	312	57
k7.18	96	short vowel	CVN	nonfinal	Speaker #4	288	96
k7.19	232	long vowel	GV	final	Speaker #4	281	184
k7.20	42	short vowel	CV	nonfinal	Speaker #4	282	42
k8.1	193	long vowel	V	nonfinal	Speaker #4	284	193
k8.2	170	long vowel	GV	nonfinal	Speaker #4	265	170
k8.3	118	short vowel	CV	final	Speaker #4	292	59
k8.4	81	short vowel	V	nonfinal	Speaker #4	279	81
k8.5	51	short vowel	CV	nonfinal	Speaker #4	298	51
k8.6	85	short vowel	CVN	nonfinal	Speaker #4	265	85
k8.7	162	long vowel	CVN	final	Speaker #4	284	162
k8.8	219	long vowel	GV	final	Speaker #4	301	164
k8.9	242	long vowel	GV	final	Speaker #4	293	197
k8.10	130	short vowel	V	final	Speaker #4	315	82
k8.11	240	long vowel	V	final	Speaker #4	271	178
k8.12	56	short vowel	CV	nonfinal	Speaker #4	288	56
k8.13	217	long vowel	CV	final	Speaker #4	293	152
k8.14	141	short vowel	GV	final	Speaker #4	331	81
k8.15	129	short vowel	GV	final	Speaker #4	319	88
k8.16	165	long vowel	GV	nonfinal	Speaker #4	311	165
k8.17	84	short vowel	V	nonfinal	Speaker #4	280	84
k8.18	121	short vowel	CV	final	Speaker #4	290	77
k8.19	69	short vowel	CVN	nonfinal	Speaker #4	275	69
k8.20	81	short vowel	CVN	nonfinal	Speaker #4	299	81
k9.1	64	short vowel	GV	nonfinal	Speaker #4	272	64
k9.2	128	short vowel	CV	final	Speaker #4	298	80
k9.3	81	short vowel	CVN	final	Speaker #4	322	81
k9.4	87	short vowel	CVN	final	Speaker #4	296	87
k9.5	88	short vowel	CVN	final	Speaker #4	320	88
k9.6	99	short vowel	GV	nonfinal	Speaker #4	324	99
k9.7	160	long vowel	V	nonfinal	Speaker #4	314	160
k9.8	178	long vowel	CVN	final	Speaker #4	320	178
k9.9	153	long vowel	V	nonfinal	Speaker #4	303	153
k9.10	144	long vowel	CVN	nonfinal	Speaker #4	297	144
k9.11	214	long vowel	V	final	Speaker #4	290	150
k9.12	231	long vowel	CV	final	Speaker #4	280	172
k9.13	137	long vowel	CV	nonfinal	Speaker #4	297	137
k9.14	224	long vowel	CV	final	Speaker #4	280	166
k9.15	142	short vowel	V	final	Speaker #4	302	93
k9.16	192	long vowel	CVN	final	Speaker #4	337	192
k9.17	53	short vowel	CV	nonfinal	Speaker #4	293	53
k9.18	160	long vowel	GV	nonfinal	Speaker #4	321	160
k9.19	206	long vowel	CV	final	Speaker #4	304	157
k9.20	79	short vowel	CVN	nonfinal	Speaker #4	307	79
k10.1	83	short vowel	GV	nonfinal	Speaker #4	325	83
k10.2	81	short vowel	GV	nonfinal	Speaker #4	321	81
k10.3	124	long vowel	CVN	nonfinal	Speaker #4	318	124
k10.4	226	long vowel	CV	final	Speaker #4	296	170
k10.5	223	long vowel	V	final	Speaker #4	290	171
k10.6	172	long vowel	GV	nonfinal	Speaker #4	292	172
k10.7	150	long vowel	CV	nonfinal	Speaker #4	303	150
k10.8	210	long vowel	V	final	Speaker #4	325	166
k10.9	218	long vowel	V	final	Speaker #4	296	179
k10.10	83	short vowel	CV	nonfinal	Speaker #4	306	83
k10.11	158	long vowel	CVN	final	Speaker #4	296	158
k10.12	167	short vowel	GV	final	Speaker #4	305	97
